reference,name,development-plan-event,event-date,notes,development-plan,entry-date,start-date,end-date,organisations
arun-local-plan-2018-inspector-report-published,,inspector-report-published,2018-07-04,,arun-local-plan-2018,2023-04-26,,,local-authority-eng:ARU
bristol-city-local-plan-2011-plan-adopted,,plan-adopted,2011-06-01,,bristol-city-local-plan-2011,2023-04-26,,,local-authority-eng:BST
southampton_city_centre_action_plan-plan-adopted,,plan-adopted,2015-03-18,,southampton_city_centre_action_plan,2023-04-26,,,local-authority-eng:STH
isles-of-scilly-local-plan-2015-2030-inspector-report-published,,inspector-report-published,2021-02-23,,isles-of-scilly-local-plan-2015-2030,2023-04-26,,,government-organisation:EA39
liverpool-local-plan-2013-2033-plan-adopted,,plan-adopted,2022-01-26,,liverpool-local-plan-2013-2033,2023-04-26,,,local-authority-eng:LIV
southampton_city_centre_action_plan-examination-hearing-start,,examination-hearing-start,2014-02-31,,southampton_city_centre_action_plan,2023-04-26,,,government-organisation:EA39
braintree-district-local-plan-2033-plan-adopted,,plan-adopted,2022-07-25,,braintree-district-local-plan-2033,2023-04-26,,,local-authority-eng:BRA
isles-of-scilly-local-plan-2015-2030-plan-adopted,,plan-adopted,2021-03-25,,isles-of-scilly-local-plan-2015-2030,2023-04-26,,,local-authority-eng:IOS
southampton_city_centre_action_plan-examination-hearing-end,,examination-hearing-end,2014-04-04,,southampton_city_centre_action_plan,2023-04-26,,,government-organisation:EA39
southampton_city_centre_action_plan-inspector-report-published,,inspector-report-published,2014-12-01,,southampton_city_centre_action_plan,2023-04-26,,,government-organisation:EA39
isles-of-scilly-local-plan-2015-2030-main-modification-consultation-start,,main-modification-consultation-start,2020-09-01,,isles-of-scilly-local-plan-2015-2030,2023-04-26,,,local-authority-eng:IOS
isles-of-scilly-local-plan-2015-2030-main-modification-consultation-end,,main-modification-consultation-end,2020-11-01,,isles-of-scilly-local-plan-2015-2030,2023-04-26,,,local-authority-eng:IOS
local-plan-1991-2011-plan-adopted,,plan-adopted,2004-04-21,,local-plan-1991-2011,2023-04-26,,,local-authority-eng:DAC
isles-of-scilly-local-plan-2015-2030-submit-plan-for-examination,,submit-plan-for-examination,2020-01-01,,isles-of-scilly-local-plan-2015-2030,2023-04-26,,,local-authority-eng:IOS
Harlow-Local-Development-Plan-plan-adopted,,plan-adopted,2020-12-10,,Harlow-Local-Development-Plan,2023-04-26,,,local-authority-eng:HAR
isles-of-scilly-local-plan-2015-2030-submit-plan-for-examination-2023-04-26-10:52:25,,submit-plan-for-examination,2019-09-01,,isles-of-scilly-local-plan-2015-2030,2023-04-26,,,local-authority-eng:IOS
isles-of-scilly-local-plan-2015-2030-public-consultation-start,,public-consultation-start,2018-03-01,,isles-of-scilly-local-plan-2015-2030,2023-04-26,,,local-authority-eng:IOS
isles-of-scilly-local-plan-2015-2030-public-consultation-end,,public-consultation-end,2018-05-0,,isles-of-scilly-local-plan-2015-2030,2023-04-26,,,local-authority-eng:IOS
Southampton_Core_Strategy_Partial_Review-plan-adopted,,plan-adopted,2015-03-18,,Southampton_Core_Strategy_Partial_Review,2023-04-26,,,local-authority-eng:STH
liverpool-local-plan-2013-2033-submit-plan-for-examination,,submit-plan-for-examination,2018-05-18,,liverpool-local-plan-2013-2033,2023-04-26,,,local-authority-eng:LIV
